params,20newsGroup,Classic3,CSTR,Irish_Economic_Sentiment,Multi_Domain_Sentiment,NSF,Opinosis-Parsed,re8,Review_Polarity,Reviews,SyskillWelbert-Parsed
{'svc__C': 100; 'svc__kernel': 'linear'},0.9154145306699664,0.9747709654686398,0.8561872909698997,0.6879518072289157,0.80775,0.8253515773470164,0.616695059625213,0.9740682825123794,0.8605,0.9641189481445072,0.9161676646706588
{'svc__C': 100; 'svc__kernel': 'poly'},0.05497613576100407,0.4515856236786469,0.4280936454849498,0.3945783132530121,0.72775,0.1338844545800076,0.0817717206132879,0.5112066718790722,0.7395,0.3411157532563283,0.4101796407185629
{'svc__C': 100; 'svc__kernel': 'rbf'},0.05736255966059749,0.5251585623678647,0.4280936454849498,0.3945783132530121,0.727375,0.4327251995438997,0.2657580919931857,0.7349491790461298,0.757,0.371098550012288,0.4101796407185629
{'svc__C': 101; 'svc__kernel': 'linear'},0.9154145306699664,0.9747709654686398,0.8561872909698997,0.6879518072289157,0.80775,0.8253515773470164,0.616695059625213,0.9740682825123794,0.8605,0.9641189481445072,0.9161676646706588
{'svc__C': 101; 'svc__kernel': 'poly'},0.05497613576100407,0.4515856236786469,0.4280936454849498,0.3945783132530121,0.72775,0.1338844545800076,0.0817717206132879,0.5112066718790722,0.7395,0.3411157532563283,0.4101796407185629
{'svc__C': 101; 'svc__kernel': 'rbf'},0.05736255966059749,0.5274136715997181,0.4280936454849498,0.3945783132530121,0.727375,0.4370961611554542,0.2674616695059625,0.735340109460516,0.757,0.3725731137871713,0.4101796407185629
{'svc__C': 102; 'svc__kernel': 'linear'},0.9154145306699664,0.9747709654686398,0.8561872909698997,0.6879518072289157,0.80775,0.8253515773470164,0.616695059625213,0.9740682825123794,0.8605,0.9641189481445072,0.9161676646706588
{'svc__C': 102; 'svc__kernel': 'poly'},0.05497613576100407,0.4515856236786469,0.4280936454849498,0.3945783132530121,0.72775,0.1338844545800076,0.0817717206132879,0.5112066718790722,0.7395,0.3411157532563283,0.4101796407185629
{'svc__C': 102; 'svc__kernel': 'rbf'},0.05736255966059749,0.5295278365045807,0.4280936454849498,0.3945783132530121,0.727375,0.4403268719118206,0.27117856589747563,0.7361219702892885,0.757,0.374539198820349,0.4101796407185629
{'svc__C': 103; 'svc__kernel': 'linear'},0.9154145306699664,0.9747709654686398,0.8561872909698997,0.6879518072289157,0.80775,0.8253515773470164,0.616695059625213,0.9740682825123794,0.8605,0.9641189481445072,0.9161676646706588
{'svc__C': 103; 'svc__kernel': 'poly'},0.05497613576100407,0.4515856236786469,0.4280936454849498,0.3945783132530121,0.72775,0.1338844545800076,0.0817717206132879,0.5112066718790722,0.7395,0.3411157532563283,0.4101796407185629
{'svc__C': 103; 'svc__kernel': 'rbf'},0.05736255966059749,0.5307963354474983,0.4280936454849498,0.3945783132530121,0.727375,0.443842645381984,0.27381136750813073,0.7366432108418035,0.757,0.3767510444826739,0.4101796407185629
{'svc__C': 104; 'svc__kernel': 'linear'},0.9154145306699664,0.9747709654686398,0.8561872909698997,0.6879518072289157,0.80775,0.8253515773470164,0.6165401889422333,0.9740682825123794,0.8605,0.9641189481445072,0.9161676646706588
{'svc__C': 104; 'svc__kernel': 'poly'},0.05497613576100407,0.4515856236786469,0.4280936454849498,0.3945783132530121,0.72775,0.1338844545800076,0.0817717206132879,0.5112066718790722,0.7395,0.3411157532563283,0.4101796407185629
{'svc__C': 104; 'svc__kernel': 'rbf'},0.05736255966059749,0.5340380549682875,0.4280936454849498,0.3945783132530121,0.727375,0.44821360699353857,0.27675391048474524,0.7366432108418035,0.757,0.3779798476284099,0.4101796407185629
{'svc__C': 105; 'svc__kernel': 'linear'},0.9153261445996111,0.9747709654686398,0.8561872909698997,0.6879518072289157,0.80775,0.8253515773470164,0.616695059625213,0.9740682825123794,0.8605,0.9641189481445072,0.9161676646706588
{'svc__C': 105; 'svc__kernel': 'poly'},0.05497613576100407,0.4515856236786469,0.4280936454849498,0.3945783132530121,0.72775,0.1338844545800076,0.0817717206132879,0.5112066718790722,0.7395,0.3411157532563283,0.4101796407185629
{'svc__C': 105; 'svc__kernel': 'rbf'},0.05736255966059749,0.537138830162086,0.4280936454849498,0.3945783132530121,0.727375,0.4512542759407069,0.27892210004646123,0.7370341412561897,0.757,0.3811747358073237,0.4101796407185629
